[00:00] conf=0.986  other companies. Yeah. Mhmm.
[00:02] conf=0.976  It's a very secret source for
[00:06] conf=0.965  that.
[00:06] conf=0.745  Other
[00:06] conf=0.731  Advantages.
[00:09] conf=0.690  K.
[00:10] conf=1.000  Thank you. And the next question is, what
[00:13] conf=1.000  was the most exciting moment during
[00:15] conf=0.959  development? Please tell us an impressive story.
[00:18] conf=0.826  If you guys
[00:18] conf=0.934  If you have Thanks thanks for your question.
[00:22] conf=0.998  Yeah. Actually, I think there are many impressive
[00:25] conf=0.998  story.
[00:26] conf=0.999  From my from my perspective, like, Google has
[00:30] conf=0.465  made made
[00:30] conf=0.665  many many many talents.
[00:33] conf=0.869  Inside and also
[00:33] conf=0.925  Inside. And, also, normally,
[00:38] conf=1.000  some sometimes
[00:38] conf=0.987  some sometimes our method will
[00:41] conf=0.997  currently, we cannot publish paper, but we do say a
[00:45] conf=0.991  lot how amazing
[00:46] conf=1.000  progress in Gemini. I think when you say
[00:49] conf=0.919  ground broken things and also when you say many
[00:53] conf=0.949  many
[00:54] conf=0.792  you
[00:54] conf=0.995  different methods could work
[00:58] conf=0.836  also
[00:59] conf=0.570  intuition. Some method but
[01:03] conf=0.846  but also work. That will be amazing.
[01:03] conf=0.889  but also work. That will be amazing.
[01:06] conf=0.995  Yeah. And also yeah.
[01:09] conf=1.000  I think from my perspective is
[01:12] conf=0.998  like, as a researcher, I think
[01:14] conf=0.996  to say many different networks, to say many
[01:17] conf=0.973  different kind of talents to discuss this
[01:21] conf=0.977  message. It's it's very, very amazing. Yeah. Mhmm. Okay.
[01:24] conf=0.999  Thank you very much for answering very question.
[01:29] conf=0.631  And, may
[01:29] conf=1.000  And the next question is, what strategy do you think
[01:32] conf=0.999  holds the most promise for a low
[01:35] conf=0.999  hallucination LLM?
[01:37] conf=0.998  Any specific fine tuning algorithm or paradigm
[01:40] conf=0.992  you recommend?
[01:41] conf=0.963  Such as training or SLM?
[01:43] conf=0.997  Yeah. I I think it's a very
[01:47] conf=0.999  good
[01:48] conf=0.982  for hallucination in LLM. I think it's
[01:51] conf=0.996  an open question.
[01:52] conf=0.998  In Google, we do a lot, such as in simple
[01:55] conf=0.995  simple QA. It's a
[01:58] conf=0.998  a benchmark to evaluate how
[02:02] conf=0.988  how
[02:02] conf=0.975  how how how much the model
[02:05] conf=0.916  holosync
[02:06] conf=0.996  In Google, we do it very real, and we use many different
[02:10] conf=0.998  methods. The thing is, like, you need to
[02:13] conf=0.999  carefully
[02:14] conf=0.996  think about how how good is your long term model
[02:17] conf=0.973  is. Some you need to any
[02:19] conf=0.921  analysis language model hallucination.
[02:22] conf=0.923  model hallucination. Like,
[02:23] conf=0.993  maybe sometimes because you fine tune
[02:26] conf=0.944  the this language model,
[02:28] conf=0.997  This language model has no knowledge about your data site.
[02:33] conf=0.989  But you want to let it to learn how to do any
[02:36] conf=0.932  the data site.
[02:37] conf=0.959  What can what can you do? Is it can't just
[02:40] conf=0.877  hallucinate hallucinate the sound process?
[02:44] conf=0.990  So just like you feel our people will
[02:47] conf=0.995  don't know some area
[02:49] conf=0.998  we must answer this question.
[02:52] conf=0.719  Another we we will just hold
[02:55] conf=0.924  hallucinate to answer question. Right?
[02:59] conf=0.966  So this is a complicated method, but one
[03:02] conf=0.968  perspective is, like,
[03:04] conf=0.999  just do the medicine for your launching model.
[03:07] conf=0.987  If you think that it's not
[03:09] conf=0.639  compatible,
[03:10] conf=0.989  to answer your question, maybe you should think about
[03:13] conf=0.994  how to
[03:13] conf=0.941  enhance the user ability. Mhmm. Yeah.
[03:19] conf=0.768  And next question, where
[03:22] conf=0.868  is that next?
[03:23] conf=0.914  Battleground for LLM efficiency? Quantization's past
[03:28] conf=0.887  distillation, speculative decoding, KV cash flow,
[03:31] conf=0.748  serving, and y. I Yeah. I see
[03:35] conf=0.801  think
[03:35] conf=0.737  yeah. Yeah. It's Upperground means I I
[03:38] conf=0.939  suppose
[03:40] conf=0.874  It's like
[03:40] conf=0.972  It's like a hot hot topic. Hot topic. Yeah.
[03:43] conf=0.992  Yeah. I think I think yeah. It's very good question. I
[03:46] conf=0.952  very good question. Actually,
[03:50] conf=0.932  I say
[03:50] conf=0.983  I think MOE is already spotty. Right? MOE is the
[03:54] conf=0.972  one kind of activation sparsity also and also this
[03:58] conf=0.996  is very important.
[04:01] conf=1.000  I think
[04:01] conf=0.999  Think
[04:02] conf=0.923  I think for all of your
[04:05] conf=0.359  mention,
[04:05] conf=0.996  mentioned, these concepts are very, very
[04:09] conf=1.000  important for
[04:11] conf=0.955  such as for quantization before we just do, like,
[04:15] conf=0.915  element wise
[04:16] conf=0.947  quantization, country, we have vector quantization.
[04:19] conf=0.999  It's a new new thing. Right? We still need to
[04:22] conf=0.999  it further.
[04:23] conf=0.832  And for sparsity and the MOE and also
[04:26] conf=0.748  also
[04:27] conf=0.326  the
[04:27] conf=0.988  there are still a lot of research paper about this kind of area.
[04:32] conf=1.000  I think all these things will be very important.
[04:36] conf=0.771  Even for KV also for KV catch, because the KV
[04:39] conf=0.973  k v catch will decide how many how large is the
[04:43] conf=0.935  batch size. It will impact the throughput and also
[04:46] conf=0.868  IO training
[04:47] conf=0.771  throughput.
[04:49] conf=0.953  For sewing. And it will be very, very important to
[04:52] conf=0.923  It's like, you could say with Reasoning model, I'll generate
[04:56] conf=0.997  tokens are very, very long. So so so
